,0
0,1
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,1
102,1
103,1
104,0
105,1
106,0
107,0
108,0
109,1
110,1
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,1
119,1
120,0
121,0
122,0
123,1
124,1
125,1
126,0
127,1
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,0
144,1
145,0
146,1
147,0
148,1
149,0
150,1
151,0
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,1
165,0
166,0
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,1
190,1
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,1
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,1
262,0
263,1
264,1
265,0
266,0
267,0
268,1
269,1
270,0
271,0
272,1
273,1
274,0
275,1
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,1
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,0
320,0
321,1
322,0
323,0
324,0
325,1
326,1
327,0
328,1
329,1
330,0
331,1
332,0
333,0
334,1
335,1
336,1
337,0
338,1
339,0
340,0
341,0
342,1
343,0
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,1
354,1
355,1
356,0
357,0
358,1
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,0
374,1
375,1
376,0
377,0
378,1
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,1
389,0
390,0
391,0
392,1
393,0
394,0
395,1
396,0
397,0
398,1
399,0
400,1
401,0
402,1
403,1
404,0
405,0
406,1
407,0
408,1
409,1
410,0
411,1
412,0
413,0
414,1
415,0
416,1
417,0
418,0
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,0
431,0
432,1
433,0
434,1
435,0
436,1
437,0
438,0
439,1
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,1
448,0
449,0
450,1
451,0
452,0
453,0
454,1
455,1
456,1
457,0
458,1
459,0
460,0
461,0
462,1
463,1
464,0
465,1
466,0
