,Date,Headline,Alternate Headline,Link
0,2019-04-01,"
					 					 India Inc goes all out to fund LS polls, but no rush for electoral trusts					 ","Quite a few big groups are spending upwards of Rs 500 crore each this election through various modes of donation, company executives confirmed",https://www.business-standard.com/article/elections/india-inc-goes-all-out-to-fund-ls-polls-but-no-rush-for-electoral-trusts-119040100043_1.html
1,2019-04-01,"
					 					 Jet Airways lenders to create independent trust for stake of Goyal, Etihad					 ","The thrust is on transferring equity, trust structure and the call option (the right but not the obligation to buy), and paying the proceeds upfront",https://www.business-standard.com/article/companies/jet-lenders-to-create-trust-for-transferring-goyal-etihad-s-share-119033100620_1.html
2,2019-04-01,"
					 					 Direct tax mop-up reaches Rs 11.5 trn against revised target of Rs 12 trn					 ","The collection figures are expected to go up as the tax collection continues till midnight, said a government official in the know",https://www.business-standard.com/article/economy-policy/direct-tax-collection-touches-rs-11-5-trn-against-target-of-rs-12-trn-119033100621_1.html
3,2019-04-01,"
					 					 Business Standard Annual Awards for 2018: Celebrating enduring success					 ","Finance and Corporate Affairs Minister Arun Jaitley presented the awards to winners in 12 categories at ITC Maurya, New Delhi",https://www.business-standard.com/article/companies/business-standard-annual-awards-for-2018-taking-india-to-greater-heights-119033100567_1.html
4,2019-04-01,"
					 					 Metropolis Healthcare open to acquisitions; IPO to hit Street on Wednesday					 ","Sushil Shah, chairman of Metropolis Healthcare, said if a good acquisition opportunity came up, they were open to evaluate it",https://www.business-standard.com/article/companies/metropolis-healthcare-open-to-acquisitions-ipo-to-hit-street-on-wednesday-119040100025_1.html
5,2019-04-01,"
					 					 J&J;'s baby shampoo samples are not of standard quality: Drug controller					 ",This comes after J&J's hip implants and baby powder were declared defective,https://www.business-standard.com/article/companies/j-j-s-baby-shampoo-samples-are-not-of-standard-quality-drug-controller-119040100018_1.html
6,2019-04-01,"
					 					 Govt plans to specify a unique colour code for generic medicines					 ","With the generics market expanding, govt wants to visibly differentiate these from branded medicines",https://www.business-standard.com/article/companies/govt-plans-to-specify-a-unique-colour-code-for-generic-medicines-119040100017_1.html
7,2019-04-01,"
					 					 Ex-Tata executives start fund to spur change at Indian companies					 ",The team expects to get regulatory approval for the tentatively named Active Engagement Fund by May and seeks to raise and invest $1 bn in 3 years,https://www.business-standard.com/article/companies/ex-tata-executives-start-fund-to-spur-change-at-indian-companies-119040100014_1.html
8,2019-04-01,"
					 					 Nykaa on its way to become the next billion-dollar Indian company					 ",Fashion retailer raises Rs 100 crore from TPG Growth; valuation surges more than 2-times in just six months at $724 million,https://www.business-standard.com/article/companies/nykaa-on-its-way-to-become-the-next-billion-dollar-indian-company-119040100010_1.html
9,2019-04-01,"
					 					 Hyundai Motor India to take on Maruti Suzuki with 'connected' cars					 ","A compact SUV, the Venue has been developed to meet Indian driving conditions and to address the limitations that come along",https://www.business-standard.com/article/companies/hyundai-motor-india-to-take-on-maruti-suzuki-with-connected-cars-119040100009_1.html
10,2019-04-01,"
					 					 Car firms pulled almost 13 models off the road in FY19: Siam report					 ","High discontinuations may be due to stringent norms coming into force soon, say analysts",https://www.business-standard.com/article/companies/in-fy19-carmakers-pulled-off-13-models-from-the-roads-siam-report-119040100007_1.html
11,2019-04-01,"
					 					 Flipkart will negatively impact profits in FY20 as well, says Walmart					 ","The Arkansas-based firm, which competes with US rival Amazon, posted $514 billion in revenue for FY19 compared to $500 billion in the previous financial year, growth of 2.8 per cent",https://www.business-standard.com/article/companies/flipkart-will-negatively-impact-profits-in-fy20-as-well-says-walmart-119033100720_1.html
12,2019-04-01,"
					 					 Deutsche, SBI oppose more cash to operational creditors of Essar Steel					 ","Last week in a meeting of the committee of creditors, lenders agreed to set aside Rs 1,000 crore more for operational creditors",https://www.business-standard.com/article/companies/deutsche-sbi-oppose-more-cash-to-operational-creditors-of-essar-steel-119033100703_1.html
13,2019-04-01,"
					 					 Tussle at Usha Martin sees Basant Kumar Jhawar's ouster from board					 ","The two factions at the apex of Usha Martin's, of Basant-Prashant Jhawar and Brij-Rajeev Jhawar, have been at odds with each other for a while",https://www.business-standard.com/article/companies/tussle-at-usha-martin-sees-basant-kumar-jhawar-s-ouster-from-board-119033100702_1.html
14,2019-04-01,"
					 					 Japan's Nippon Steel to bolster overseas business, focus on Indian markets					 ","Nippon Steel was intermittently the world's No.1 by market cap between 2013 and 2016, but its market cap now stand at $16.8 bn",https://www.business-standard.com/article/reuters/nippon-steel-to-bolster-overseas-business-focus-on-india-119033100684_1.html
15,2019-04-01,"
					 					 Smart personalisation, consumer lifestyle push personal care products' sale					 ",Premium beauty and personal care brands' sales to the overall category sales grew from 4.4 per cent (2015) to 4.8 per cent in 2016 and 5.1 per cent in 2017 (Euromonitor),https://www.business-standard.com/article/companies/smart-personalisation-consumer-lifestyle-push-personal-care-products-sale-119033100640_1.html
16,2019-04-01,"
					 					 Cipla gets 8 observations from USFDA for Kurkumbh plant in Maharashtra					 ","The company has also received 10 observations pertaining to a product specific pre-approval (PAI) from the same plant, Cipla said in a BSE filing.",https://www.business-standard.com/article/pti-stories/cipla-gets-8-observations-from-usfda-for-kurkumbh-plant-119033100601_1.html
17,2019-04-01,"
					 					 Medical technology start-up Inito brings health tests to your mobile phone					 ",The company aims to conduct laboratory grade diagnostic tests related to non-communicable diseases on a single device connected to the mobile phone,https://www.business-standard.com/article/companies/medical-technology-start-up-inito-brings-health-tests-to-your-mobile-phone-119033100553_1.html
18,2019-04-01,"
					 					 Make it large: Whatfix bets on big firms, helping employees learn new tech					 ","With digital transformation becoming fundamental to all enterprises, the market is ripe for digital adoption platform Whatfix",https://www.business-standard.com/article/companies/make-it-large-whatfix-bets-on-big-firms-helping-employees-learn-new-tech-119033100551_1.html
19,2019-04-01,"
					 					 NRIs are buying luxury and affordable homes for rental income: Experts					 ","Also, of late, NRIs with higher purchasing power are lapping up luxury homes along with affordable homes, as they offer better rental income and capital appreciation",https://www.business-standard.com/article/pti-stories/more-and-more-nris-buying-homes-for-rental-income-119033100300_1.html
20,2019-04-01,"
					 					 Zuckerberg calls for global internet regulations to address harmful content					 ","In his post, Zuckerberg proposes that 'regulation could set baselines for what's prohibited and require companies to build systems for keeping harmful content to a bare minimum'",https://www.business-standard.com/article/companies/zuckerberg-calls-for-global-internet-regulations-to-address-harmful-content-119033100053_1.html
21,2019-04-01,"
					 					 Jeff Bezos' phone hacked by Saudis to access personal data: Investigator					 ","Bezos has accused Enquirer publisher American Media Inc, led by David Pecker, of 'blackmail' for threatening to publish the intimate photos if he did not halt the investigation",https://www.business-standard.com/article/pti-stories/investigator-says-amazon-chief-s-phone-hacked-by-saudis-119033100050_1.html
22,2019-04-01,"
					 					 ADB to extend $750-millon loan to push railways' electrification drive					 ",The ADB debt financing is likely to be structured as a standard secured project finance loan for a tenor of 20 years,https://www.business-standard.com/article/economy-policy/adb-to-extend-750-millon-loan-to-push-railways-electrification-drive-119040100041_1.html
23,2019-04-01,"
					 					 Rural India buying less of consumer products due to falling income					 ",Falling incomes and longer winter to translate into lower demand for at least some months,https://www.business-standard.com/article/economy-policy/rural-india-buying-less-of-consumer-products-due-to-falling-income-119040100038_1.html
24,2019-04-01,"
					 					 Discoms slip back into the red, clouding India's '24x7 power' dream					 ",'Power' conundrum: Deeply connected but not yet electrified,https://www.business-standard.com/article/economy-policy/discoms-slip-back-into-the-red-clouding-india-s-24x7-power-dream-119040100034_1.html
25,2019-04-01,"
					 					 Roll-out of new, simplified monthly GST return forms deferred					 ","Small taxpayers, with turnover of up to Rs 5 crore in the last financial year, can file quarterly return with monthly payment of taxes on self-declaration basis",https://www.business-standard.com/article/economy-policy/roll-out-of-new-simplified-monthly-gst-return-forms-deferred-119040100031_1.html
26,2019-04-01,"
					 					 Inflation fine, growth slips and fiscal consolidation is under pressure					 ","The current account deficit is on the rise, but manageable",https://www.business-standard.com/article/economy-policy/inflation-fine-growth-slips-and-fiscal-consolidation-is-under-pressure-119040100028_1.html
27,2019-04-01,"
					 					 India to get second largest PSB as Dena, Vijaya to merge with BoB today					 ",The interoperability of the key banking services across all branches would be introduced by the end of April,https://www.business-standard.com/article/economy-policy/india-to-get-second-largest-psb-as-dena-vijaya-to-merge-with-bob-today-119040100021_1.html
28,2019-04-01,"
					 					 IBC takes 300 days, BIFR took 5-8 yrs: IBBI chairman M S Sahoo					 ","As many as 12,000 cases have been filed since the implementation of the IBC and setting up of NCLT, shows government data",https://www.business-standard.com/article/economy-policy/ibc-takes-300-days-bifr-took-5-8-yrs-ibbi-chairman-m-s-sahoo-119040100020_1.html
29,2019-04-01,"
					 					 Demonetisation good for economy in the long run: HDFC's Aditya Puri					 ",Puri said the demonetisation has brought more money into the financial system which will boost economy on long-term basis,https://www.business-standard.com/article/pti-stories/demonetisation-good-move-though-people-faced-hardships-puri-119033100595_1.html
30,2019-04-01,"
					 					 Govt notifies new accounting standard, lease rule to impact airlines					 ","Ind AS 116 -- to be effective from April 1 -- sets out the principles for recognition, presentation and disclosure of leases",https://www.business-standard.com/article/pti-stories/govt-notifies-new-accounting-standard-on-leases-effective-from-apr-1-119033100496_1.html
31,2019-04-01,"
					 					 Unravelling the Putin enigma					 ",The book's usefulness is marred by maddening small errors,https://www.business-standard.com/article/beyond-business/unravelling-the-putin-enigma-119040100006_1.html
32,2019-04-01,"
					 					 Cloudy outlook for our trade					 ","The World Bank said global economic growth would lessen to 2.9 per cent this year, from a downwardly revised 3 per cent in 2018, citing 'rising downside risks' to the outlook",https://www.business-standard.com/article/opinion/cloudy-outlook-for-our-trade-119040100024_1.html
33,2019-04-01,"
					 					 RBI: Still unaccountable and above law?					 ","For decades, the RBI has got away, no matter how egregious its bungling is",https://www.business-standard.com/article/opinion/rbi-still-unaccountable-and-above-law-119040100016_1.html
34,2019-04-01,"
					 					 It's about jobs					 ","In the absence of high-quality jobs, we risk a future of social upheaval and frittering away the unique advantage of our young population",https://www.business-standard.com/article/opinion/it-s-about-jobs-119040100013_1.html
35,2019-04-01,"
					 					 Beyond accounting					 ",Deferment of Ind-AS for banks is a short-term fix,https://www.business-standard.com/article/opinion/beyond-accounting-119040100005_1.html
36,2019-04-01,"
					 					 Confusing signal					 ","Indices have surged, but broader markets still in loss",https://www.business-standard.com/article/opinion/confusing-signal-119040100004_1.html
37,2019-04-01,"
					 					 Run up to voting, Cong raises the pitch with slogans praising Priyanka					 ","Slogans such as 'Priyanka nahi hai aandhi hai, Dusri Indira Gandhi hai' have started making their way into speeches of local leaders",https://www.business-standard.com/article/opinion/run-up-to-voting-cong-raises-the-pitch-with-slogans-praising-priyanka-119033100667_1.html
38,2019-04-01,"
					 					 Letter to BS: Thankful to the Nepali chowkidar who made me stay awake					 ","Each time, he would pass by my window and inquire about my studies while talking about his son living in Nepal",https://www.business-standard.com/article/opinion/letter-to-bs-thankful-to-the-nepali-chowkidar-who-made-me-stay-awake-119033100666_1.html
39,2019-04-01,"
					 					 Letter to BS: Cong's NYAY scheme is an insult to honour, dignity of Indians					 ",What is astounding is that a plan such as NYAY is being backed by the so-called eminent economists who have thrown their sacred economic principles to the winds,https://www.business-standard.com/article/opinion/letter-to-bs-cong-s-nyay-scheme-is-an-insult-to-honour-dignity-of-indians-119033100660_1.html
40,2019-04-01,"
					 					 Letter to BS: With voting are nearing, there'll be more of jingoism					 ",It is an undeniable fact that the overarching appeal of Hindutva nationalism has diminished the passion for secularism and social justice over the years,https://www.business-standard.com/article/opinion/letter-to-bs-with-voting-are-nearing-there-ll-be-more-of-jingoism-119033100654_1.html
41,2019-04-01,"
					 					 Congress' NYAY: Unanswered questions					 ",Can the party effectively communicate in a way that makes the scheme not just appealing but something that will determine how Indians vote?,https://www.business-standard.com/article/opinion/congress-nyay-unanswered-questions-119033100652_1.html
42,2019-04-01,"
					 					 Defining Japan in just one word					 ","Today Japan will announce the name of its new ""era"", a historical event and a precursor to the royal succession",https://www.business-standard.com/article/opinion/defining-japan-in-just-one-word-119033100647_1.html
43,2019-04-01,"
					 					 Reserve Bank will go for another rate cut					 ",Shaktikanta Das will join the gang of dovish-pivoting global central bankers to address the growth pangs in the Indian economy,https://www.business-standard.com/article/opinion/reserve-bank-will-go-for-another-rate-cut-119033100648_1.html
44,2019-04-01,"
					 					 Selective buying in auto sector					 ",But it may be a very long haul before the industry sees a stable recovery,https://www.business-standard.com/article/opinion/selective-buying-in-auto-sector-119033100624_1.html
45,2019-04-01,"
					 					 The Rs 50,000-crore challenge					 ",Raising the corporation tax collection target by 8 per cent in February may have made the CBDT's task more difficult,https://www.business-standard.com/article/opinion/the-rs-50-000-crore-challenge-119033100635_1.html
46,2019-04-01,"
					 					 Some interpretation issues remain even after GST					 ","The principle the SC enunciated in several judgments was that where in a tariff entry there were several sub-entries, the classification should be in one of the sub-entries",https://www.business-standard.com/article/opinion/some-interpretation-issues-remain-even-after-gst-119033100618_1.html
47,2019-04-01,"
					 					 Operational creditors face Shakespearean dilemma in Essar Steel insolvency					 ",The challenge for RPs is to determine how to keep the company a 'going concern' without giving in to all the demands from operational creditors,https://www.business-standard.com/article/opinion/operational-creditors-face-shakespearean-dilemma-in-essar-steel-insolvency-119033100615_1.html
48,2019-04-01,"
					 					 Rough flight ahead for Jet as legal worries loom large over revival plan					 ","Some experts are of the view that the debt-equity swap is only a matter of change in the books of account, and will not necessarily change the quality of Jet's assets",https://www.business-standard.com/article/opinion/rough-flight-ahead-for-jet-as-legal-worries-loom-large-over-revival-plan-119033100600_1.html
49,2019-04-01,"
					 					 From serious fraud probe to Malaria death, here are the key court orders					 ","The forest authorities have the power to confiscate not only forest produce illegally gathered but also tools, equipment, vehicles, boats, and other articles used by the accused under the Forest Act",https://www.business-standard.com/article/opinion/from-serious-fraud-probe-to-malaria-death-here-are-the-key-court-orders-119033100591_1.html
50,2019-04-01,"
					 					 Commodity Picks: March 31, 2019					 ","Turmeric prices in Nizamabad are trading at Rs 6,025 per quintal",https://www.business-standard.com/article/markets/commodity-picks-march-31-2019-119033100586_1.html
51,2019-04-01,"
					 					 India's Rs 1-trillion market cap club triples in the past decade: Report					 ","A decade ago, there were only 10 companies in the coveted club",https://www.business-standard.com/article/markets/india-s-rs-1-trillion-market-cap-club-triples-in-the-past-decade-report-119033100574_1.html
52,2019-04-01,"
					 					 Street signs: CPSE short-sellers trapped, Nifty near 12,000, and more					 ",Most of them had to cover their short positions after the CPSE ETF FFO garnered over five times subscription,https://www.business-standard.com/article/markets/street-signs-cpse-short-sellers-trapped-nifty-near-12-000-and-more-119033100570_1.html
53,2019-04-01,"
					 					 How Centre achieved divestment target despite volatile market conditions					 ",Disinvestment proceeds are key for the government's finances as they help bridge the fiscal deficit,https://www.business-standard.com/article/markets/how-centre-achieved-divestment-target-despite-volatile-market-conditions-119033100566_1.html
54,2019-04-01,"
					 					 Markets likely to be higher over the next two-three years: Vaibhav Sanghavi					 ","Globally, the growth forecasts are getting revised downwards, with inflation being very benign, says Vaibhav Sanghavi, co-CEO of Avendus Capital",https://www.business-standard.com/article/markets/markets-likely-to-be-higher-over-the-next-two-three-years-vaibhav-sanghavi-119033100561_1.html
55,2019-04-01,"
					 					 With Nifty Bank at all-time high, investors need to be wary, say experts					 ","Experts advise that investors better stick to quality names with high predictability on future earnings, to minimise downside risk",https://www.business-standard.com/article/markets/with-nifty-bank-at-all-time-high-investors-need-to-be-wary-say-experts-119033100552_1.html
56,2019-04-01,"
					 					 Answers to the Strategist quiz 606					 ",Answers to the Strategist quiz 606,https://www.business-standard.com/article/management/answers-to-the-strategist-quiz-606-119033100664_1.html
57,2019-04-01,"
					 					 The Strategist Quiz #607					 ",The Strategist Quiz #607,https://www.business-standard.com/article/management/the-strategist-quiz-607-119033100653_1.html
58,2019-04-01,"
					 					 Vivo hopes by streaming IPL matches it can win smartphone contest					 ",It is also natural that the IPL window is a huge opportunity to advertise its products with premium slots reserved for it,https://www.business-standard.com/article/specials/vivo-hopes-by-streaming-ipl-matches-it-can-win-smartphone-contest-119033100636_1.html
59,2019-04-01,"
					 					 Fully vindicated by PM's statement, all dues recovered, claims Vijay Mallya					 ",Mallya remains on bail on an extradition warrant executed by Scotland Yard in April 2017,https://www.business-standard.com/article/pti-stories/fully-vindicated-by-pm-modi-s-statement-claims-mallya-119033100317_1.html
60,2019-04-01,"
					 					 Zuzana Caputova becomes Slovakia's first female President					 ","During vote counting, Caputova emerged as the frontrunner for the presidential post and the official results were declared on Sunday",https://www.business-standard.com/article/news-ani/slovakia-gets-first-female-president-119033100676_1.html
61,2019-04-01,"
					 					 Brexit in meltdown: Theresa May under pressure to choose from 3 options					 ","A third defeat of May's divorce deal, after her pledge to quit if it was passed, left one of the weakest leaders in a generation grappling with a perilous crisis over Brexit",https://www.business-standard.com/article/international/brexit-in-meltdown-theresa-may-under-pressure-to-choose-from-3-options-119033100403_1.html
62,2019-04-01,"
					 					 Statsguru: Sociopolitical attitude of people ahead of Lok Sabha elections					 ","When it comes to the institutions that run our democracy, people tend to trust the Army, the courts and the district collector the most",https://www.business-standard.com/article/elections/statsguru-sociopolitical-attitudes-of-people-ahead-of-lok-sabha-elections-119040100033_1.html
63,2019-04-01,"
					 					 Lok Sabha polls: BJP mulls scheme to counter Rahul Gandhi's NYAY					 ","There are concerns within the BJP that NYAY (Nyuntam Aay Yojana), as the Congress has termed its income guarantee scheme, has caught imagination of the poor, particularly the landless, in rural areas",https://www.business-standard.com/article/elections/lok-sabha-polls-bjp-mulls-schemes-to-counter-rahul-gandhi-s-nyay-119040100032_1.html
64,2019-04-01,"
					 					 Rahul picks Wayanad as second Lok Sabha seat, Left promises to defeat him					 ",The Congress strategy in fielding Gandhi from Wayanad is to galvanise its workers and support base in southern India,https://www.business-standard.com/article/elections/rahul-picks-wayanad-as-second-lok-sabha-seat-left-promises-to-defeat-him-119040100030_1.html
65,2019-04-01,"
					 					 Don't need kings, spirit of 'chowkidar' growing, says Narendra Modi					 ","At the close to two-hour 'Main bhi Chowkidar' interaction, the PM tried to convey that the people of India had already made up their mind to return the chowkidar to power on May 23",https://www.business-standard.com/article/elections/don-t-need-kings-spirit-of-chowkidar-growing-says-narendra-modi-119040100027_1.html
66,2019-04-01,"
					 					 Sidelined by his family, angry Tej Pratap Yadav could cost RJD in elections					 ",Senior party leaders say that Tej Pratap's defiance may cost the party in the coming days,https://www.business-standard.com/article/elections/sidelined-by-his-family-angry-tej-pratap-yadav-could-cost-rjd-in-elections-119033100694_1.html
67,2019-04-01,"
					 					 Lok Sabha polls a test for Lalu's son and political heir, Tejashwi Yadav					 ",The young leader is yet to earn the trust of the crowd,https://www.business-standard.com/article/elections/lok-sabha-polls-a-test-for-lalu-s-son-and-political-heir-tejashwi-yadav-119033100685_1.html
68,2019-04-01,"
					 					 Busy campaigning in MP, Jyotiraditya Scindia is devoting little time to UP					 ","Jyotiraditya Scindia, has been low key and perceptibly missing from the 'heat and dust' of elections in UP",https://www.business-standard.com/article/elections/busy-campaigning-in-mp-jyotiraditya-scindia-is-devoting-little-time-to-up-119033100691_1.html
69,2019-04-02,"
					 					 FY19 closes on a happy note with record GST collections at Rs 1.06 trillion					 ","Together with direct taxes, it may help the Centre move closer to the fiscal deficit target",https://www.business-standard.com/article/economy-policy/fy19-closes-on-a-happy-note-with-record-gst-collections-at-rs-1-06-trillion-119040101305_1.html
