,Date,Headline,Alternate Headline,Link
0,2019-06-01,"
					 					 Urban unemployment rate at 9.7% in Q3CY18, reveals NSSO report					 ",60% of the urban population was employed in the services sector during 2018,https://www.business-standard.com/article/economy-policy/urban-unemployment-rate-at-9-7-in-q3cy18-reveals-nsso-report-119060100033_1.html
1,2019-06-01,"
					 					 Finance to foreign affairs: Modi's message in portfolios for new ministers					 ",Ministers like Harsh Vardhan and Prakash Javadekar have returned to their initial portfolios of Modi government 1.0,https://www.business-standard.com/article/economy-policy/finance-to-foreign-affairs-modi-s-message-in-portfolios-for-new-ministers-119053101726_1.html
2,2019-06-01,"
					 					 GDP growth slips to five-year low on slowdown in investment, manufacturing					 ",Govt blames NBFC crisis for the slowdown,https://www.business-standard.com/article/economy-policy/gdp-growth-slips-to-five-year-low-on-slowdown-in-investment-manufacturing-119053101710_1.html
3,2019-06-01,"
					 					 PM Modi's first cabinet meeting rolls out funds for farmers, traders					 ",PM-Kisan extended to all farmers; pension scheme cleared for both,https://www.business-standard.com/article/economy-policy/pm-modi-s-first-cabinet-meeting-rolls-out-funds-for-farmers-traders-119053101693_1.html
4,2019-06-01,"
					 					 Oppo beats Apple, Samsung in race for most innovative premium handset brand					 ",The young consumers said that Oppo's constant focus on camera prowess and its long-lasting batteries remained at the top of their mind,https://www.business-standard.com/article/companies/oppo-beats-apple-samsung-in-race-for-most-innovative-premium-handset-brand-119060100028_1.html
5,2019-06-01,"
					 					 Siva group gave dud shares of Tata Teleservices for funds from IFIN					 ","SFIO has said that Sivasankaran arranged for foreign junkets, helicopter rides and paid for renovation of apartments of top IL&FS officials in Brussels",https://www.business-standard.com/article/companies/siva-group-gave-dud-shares-of-tata-teleservices-for-funds-from-ifin-119060100021_1.html
6,2019-06-01,"
					 					 India Inc expects big-bang reforms under new Finance Minister Sitharaman					 ","CEOs said the need of the hour for the new FM was to increase spending in building new ports, highways and airports",https://www.business-standard.com/article/companies/india-inc-expects-big-bang-reforms-under-new-finance-minister-sitharaman-119060100013_1.html
7,2019-06-01,"
					 					 Hindi TV news channels grab 95% rise in viewership in election results week					 ",Aaj Tak lead Hindi news channel genre,https://www.business-standard.com/article/companies/hindi-tv-news-channels-grab-95-rise-in-viewership-in-election-results-week-119053101716_1.html
8,2019-06-01,"
					 					 Azim Premji-backed iD Fresh Food forays into US with filter coffee					 ","To tap the coffee industry, iD Fresh had come up with its unique, ready-to-use decoction, just like it did with its products in the nascent idli-dosa batter market",https://www.business-standard.com/article/companies/azim-premji-backed-id-fresh-food-forays-into-us-with-filter-coffee-119053101660_1.html
9,2019-06-01,"
					 					 NHPC's takeover plan of crisis-hit Teesta-VI hydro power unit faces hiccups					 ",NHPC is also looking at more stressed hydro units but only through the NCLT route,https://www.business-standard.com/article/companies/nhpc-s-takeover-plan-of-crisis-hit-teesta-vi-hydro-power-unit-faces-hiccups-119053101652_1.html
