,Date,Headline,Alternate Headline,Link
0,2019-09-01,"
					 					 Coming soon to small screens near you: Episodes no longer than an Uber ride					 ","Film and television establishment has spotty record of creating shows for internet era's short attention spans, including parade of forgettable ""webisodes"" and high-concept, low-budget digital series",https://www.business-standard.com/article/entertainment/entertainment-industry-spending-heavily-to-reach-generation-glued-to-phones-119090100009_1.html
1,2019-09-01,"
					 					 Demand in economy has to match credit expansion: Finance Secy Rajiv Kumar					 ","We have budgeted Rs 70,000 crore for this year, says Finance Secretary Rajiv Kumar",https://www.business-standard.com/article/finance/demand-in-economy-has-to-match-credit-expansion-finance-secy-rajiv-kumar-119083101235_1.html
2,2019-09-01,"
					 					 Over 1.9 mn applicants left out of NRC, parties call the list 'faulty'					 ","The Assam government has ruled out detention of people who do not figure in the list ""in any circumstances"", until the tribunals declare them foreigners",https://www.business-standard.com/article/current-affairs/over-1-9-mn-applicants-left-out-of-nrc-parties-call-the-list-faulty-119083101224_1.html
3,2019-09-01,"
					 					 After Thapar, fraud-hit CG Power sacks CFO Venkatesh for alleged misconduct					 ","The board at its meeting on Friday ""terminated the employment of V R Venkatesh as the Chief Financial Officer of the company, for cause, with immediate effect,"" CG Power said in a regulatory filing",https://www.business-standard.com/article/pti-stories/fraud-hit-cg-power-sacks-cro-venkatesh-119083100411_1.html
4,2019-09-01,"
					 					 From Apollo to Fortis, hospitals tap West Asia, Africa for new patients					 ","Foreign patients help hospitals increase occupancy, improve cash flow, build brand profile overseas, and serve as a hedge against currency volatility",https://www.business-standard.com/article/companies/from-apollo-to-fortis-hospitals-tap-west-asia-africa-for-new-patients-119090100022_1.html
5,2019-09-01,"
					 					 ICRA downgrades Indiabulls Housing long-term ratings to AA+ from AAA					 ","The realty sector has been hit by subdued sales and rising challenges on the funding front, said ICRA",https://www.business-standard.com/article/companies/icra-downgrades-indiabulls-housing-long-term-ratings-to-aa-from-aaa-119090100018_1.html
6,2019-09-01,"
					 					 NextGen PSBs: Indian Bank-Allahabad Bank merger to boost scale of ops					 ","There will be very little overlap in terms of branches or network, since the geography focus has been different, says Indian Bank's Padmaja Chunduru",https://www.business-standard.com/article/companies/nextgen-psbs-indian-bank-allahabad-bank-merger-to-boost-scale-of-ops-119083100965_1.html
7,2019-09-01,"
					 					 L&T; awarded EPC contract to build Navi Mumbai International Airport					 ",A formal agreement was signed today by GVK group founder and chairman GVK Reddy and L&T's managing director S N Subrahmanyan,https://www.business-standard.com/article/companies/l-t-awarded-epc-contract-to-build-navi-mumbai-international-airport-119083100871_1.html
8,2019-09-01,"
					 					 OMCs warn Air India of stopping supply at 2 more airports over unpaid bills					 ","The state-owned oil marketing firms have already stopped supplying fuel to Air India flights at Pune, Vizag, Cochin, Patna, Ranchi and Mohali since August 22",https://www.business-standard.com/article/pti-stories/omcs-warn-ai-of-stopping-supply-at-2-more-airports-over-unpaid-119083100814_1.html
9,2019-09-01,"
					 					 Agriculture Insurance Co planning to launch crop reinsurance schemes abroad					 ","Agriculture Insurance Company (AIC), for now, is looking to launch reinsurance in countries like Nepal, Sri Lanka, Philippines and Bangladesh",https://www.business-standard.com/article/companies/agriculture-insurance-co-planning-to-launch-crop-reinsurance-schemes-abroad-119083100865_1.html
